"produkt","wc_id","fraza","typ","wolumen","cpc_zl","nasz_url_gsc","pozycja_gsc","wyswietlenia_gsc"
"Węglanowe z magnezem — Odmiana 05","319","wapno odmiana 05","nazwa / odmiana","20","","/wapno-nawozowe-rolnictwo/weglanowe-magnez-odmiana-05/","2.9","60"
"Węglanowe z magnezem — Odmiana 05","319","dewonit","producent / kopalnia","10","1.78","","","0"
"Węglanowe z magnezem — Odmiana 05","319","kopalnia laskowa","producent / kopalnia","320","4.24","","","0"
"Węglanowe z magnezem — Odmiana 05","319","laskowa kopalnia","producent / kopalnia","50","","","","0"
"Węglanowe z magnezem — Odmiana 05","319","kopalnia winna","producent / kopalnia","170","1.65","","","0"
"Węglanowe z magnezem — Odmiana 05","319","dopłaty do wapnowania","nazwa + zastosowanie","70","1.37","/wapnowanie-gleby/","4","1"
"Węglanowe z magnezem — Odmiana 05","319","wapno magnezowe ile na hektar","nazwa + dawka","70","","/wapnowanie-gleby/","8.0","258"
"Węglanowe z magnezem — Odmiana 05","319","ile wapna magnezowego na hektar","nazwa + dawka","90","5.58","/wapnowanie-gleby/","9.8","212"
"Węglanowe z magnezem — Odmiana 05","319","wapno magnezowe cena","nazwa + cena / forma","90","0.26","","","0"
"Węglanowe z magnezem — Odmiana 05","319","wapno magnezowe luzem cena","nazwa + cena / forma","70","0.4","/wapno-nawozowe-rolnictwo/weglanowe-magnez-odmiana-05/","2","1"
"Węglanowe z magnezem — Odmiana 05","319","wapno magnezowe odmiana 05","nazwa / odmiana","<10","","","","0"
"Węglanowe z magnezem — Odmiana 05","319","wapno nawozowe odmiana 05","nazwa / odmiana","<10","","","","0"
"Węglanowe z magnezem — Odmiana 05","319","wapno węglanowe z magnezem odmiana 05","nazwa / odmiana","<10","","","","0"
"Węglanowe z magnezem — Odmiana 05","319","wapno łagów","producent / kopalnia","<10","","","","0"
"Węglanowe z magnezem — Odmiana 05","319","wapno magnezowe łagów","producent / kopalnia","<10","","","","0"
"Węglanowe z magnezem — Odmiana 05","319","kostomłoty kopalnia","producent / kopalnia","<10","","","","0"
"Węglanowe z magnezem — Odmiana 05","319","producent wapna magnezowego","producent / kopalnia","<10","","/wapno-nawozowe-rolnictwo/weglanowe-magnez-odmiana-05/","40.9","33"
"Węglanowe z magnezem — Odmiana 05","319","wapno magnezowe producent","producent / kopalnia","<10","","/wapno-nawozowe-rolnictwo/weglanowe-magnez-odmiana-05/","29.3","13"
"Węglanowe z magnezem — Odmiana 05","319","wapno magnezowe na gleby lekkie","nazwa + zastosowanie","<10","","","","0"
"Węglanowe z magnezem — Odmiana 05","319","wapno magnezowe do sadu","nazwa + zastosowanie","<10","","","","0"
"Węglanowe z magnezem — Odmiana 05","319","wapno magnezowe cena za tonę","nazwa + cena / forma","140","0.81","/wapnowanie-gleby/","2.5","4"
"Węglanowe z magnezem — Odmiana 05","319","wapno magnezowe","rodzaj ogólny","1900","0.6","/wapno-nawozowe-rolnictwo/weglanowe-magnez-granulowane/","48.9","27"
"Węglanowe z magnezem — Odmiana 05","319","wapno węglanowo magnezowe","rodzaj ogólny","170","0.72","/wapno-nawozowe-rolnictwo/weglanowe-magnez-odmiana-05/","17","10"
"Węglanowe z magnezem — Odmiana 05","319","nawóz wapniowo magnezowy","rodzaj ogólny","260","0.83","","","0"
"Węglanowe z magnezem — Odmiana 05","319","wapno nawozowe z magnezem","rodzaj ogólny","90","0.79","/wapno-nawozowe-rolnictwo/weglanowe-magnez-odmiana-05/","29","2"
"Węglanowe z magnezem — Odmiana 05","319","wapno magnezowe czy węglanowe","porównania","10","","","","0"
"Węglanowe z magnezem — Odmiana 05","319","najtańsze wapno magnezowe","nazwa + cena / forma","<10","","","","0"
"Węglanowe z magnezem — Odmiana 05","319","wapno magnezowe czy dolomit","porównania","<10","","","","0"
