"produkt","wc_id","fraza","typ","wolumen","cpc_zl","nasz_url_gsc","pozycja_gsc","wyswietlenia_gsc"
"Wapno nawozowe węglanowe bez magnezu — Odmiana 04","315","wapno węglanowe odmiana 04","nazwa","10","","","","0"
"Wapno nawozowe węglanowe bez magnezu — Odmiana 04","315","wapno odmiana 04","nazwa","30","","/wapno-nawozowe-rolnictwo/weglanowe-odmiana-04/","3.6","108"
"Wapno nawozowe węglanowe bez magnezu — Odmiana 04","315","wapno nawozowe odmiana 04","nazwa","10","","","","0"
"Wapno nawozowe węglanowe bez magnezu — Odmiana 04","315","wapno węglanowe bez magnezu","nazwa","10","0.55","","","0"
"Wapno nawozowe węglanowe bez magnezu — Odmiana 04","315","wapno bez magnezu","nazwa","<10","","","","0"
"Wapno nawozowe węglanowe bez magnezu — Odmiana 04","315","wapno węglanowe sypkie","nazwa","20","1.32","/wapno-nawozowe-rolnictwo/weglanowe-magnez-odmiana-05/","8","6"
"Wapno nawozowe węglanowe bez magnezu — Odmiana 04","315","bukowiak","nazwa (marka z atrybutu)","<10","","","","0"
"Wapno nawozowe węglanowe bez magnezu — Odmiana 04","315","wapno bukowiak","nazwa (marka z atrybutu)","<10","","","","0"
"Wapno nawozowe węglanowe bez magnezu — Odmiana 04","315","opolwiak","nazwa (marka z atrybutu)","<10","","","","0"
"Wapno nawozowe węglanowe bez magnezu — Odmiana 04","315","wapno opolwiak","nazwa (marka z atrybutu)","10","","","","0"
"Wapno nawozowe węglanowe bez magnezu — Odmiana 04","315","opolwiak premium","nazwa (marka z atrybutu)","<10","","","","0"
"Wapno nawozowe węglanowe bez magnezu — Odmiana 04","315","wapno węglanowe na gleby lekkie","nazwa+zastosowanie","<10","","","","0"
"Wapno nawozowe węglanowe bez magnezu — Odmiana 04","315","wapno węglanowe do sadu","nazwa+zastosowanie","<10","","","","0"
"Wapno nawozowe węglanowe bez magnezu — Odmiana 04","315","wapno węglanowe zastosowanie","nazwa+zastosowanie","<10","","","","0"
"Wapno nawozowe węglanowe bez magnezu — Odmiana 04","315","ile wapna węglanowego na hektar","nazwa+dawka","40","3.76","/wapnowanie-gleby/","8.1","134"
"Wapno nawozowe węglanowe bez magnezu — Odmiana 04","315","wapno węglanowe ile na hektar","nazwa+dawka","20","2.82","/wapnowanie-gleby/","5.9","115"
"Wapno nawozowe węglanowe bez magnezu — Odmiana 04","315","wapno węglanowe dawkowanie","nazwa+dawka","40","2.22","/wapnowanie-gleby/","17.6","13"
"Wapno nawozowe węglanowe bez magnezu — Odmiana 04","315","wapno węglanowe cena","nazwa+cena","70","0.91","/wapnowanie-gleby/","2","1"
"Wapno nawozowe węglanowe bez magnezu — Odmiana 04","315","wapno węglanowe cena za tonę","nazwa+cena","90","0.81","/wapnowanie-gleby/","2","1"
"Wapno nawozowe węglanowe bez magnezu — Odmiana 04","315","wapno węglanowe luzem","nazwa+cena","<10","","","","0"
"Wapno nawozowe węglanowe bez magnezu — Odmiana 04","315","wapno węglanowe big bag","nazwa+cena","20","0.78","/wapno-nawozowe-hurt/wapno-weglanowe-bez-magnezu-granulowane-big-bag-600kg/","10","2"
"Wapno nawozowe węglanowe bez magnezu — Odmiana 04","315","wapno węglanowe 25 kg","nazwa+cena","<10","","","","0"
"Wapno nawozowe węglanowe bez magnezu — Odmiana 04","315","lhoist","kopalnia","480","1.08","","","0"
"Wapno nawozowe węglanowe bez magnezu — Odmiana 04","315","lhoist bukowa","kopalnia","390","2.36","","","0"
"Wapno nawozowe węglanowe bez magnezu — Odmiana 04","315","wapno bukowa","kopalnia","50","1.4","","","0"
"Wapno nawozowe węglanowe bez magnezu — Odmiana 04","315","kopalnia celiny","kopalnia","320","","","","0"
"Wapno nawozowe węglanowe bez magnezu — Odmiana 04","315","wapno celiny","kopalnia","10","","","","0"
"Wapno nawozowe węglanowe bez magnezu — Odmiana 04","315","wapno górażdże","kopalnia","20","2.42","","","0"
"Wapno nawozowe węglanowe bez magnezu — Odmiana 04","315","wapno tarnów opolski","kopalnia","10","","","","0"
"Wapno nawozowe węglanowe bez magnezu — Odmiana 04","315","wapno węglanowe","rodzaj ogólny","1000","0.8","/wapno-nawozowe-rolnictwo/weglanowe-odmiana-04/","9.9","988"
"Wapno nawozowe węglanowe bez magnezu — Odmiana 04","315","wapno nawozowe węglanowe","rodzaj ogólny","40","0.01","/wapno-nawozowe-rolnictwo/weglanowe-granulowane/","18.9","187"
"Wapno nawozowe węglanowe bez magnezu — Odmiana 04","315","wapno kredowe","rodzaj ogólny","590","0.48","/wapnowanie-gleby/","2","3"
"Wapno nawozowe węglanowe bez magnezu — Odmiana 04","315","wapno nawozowe","rodzaj ogólny","1300","0.96","/wapno-nawozowe-rolnictwo/","11.1","667"
"Wapno nawozowe węglanowe bez magnezu — Odmiana 04","315","wapno węglanowe czy tlenkowe","porównanie","10","","","","0"
"Wapno nawozowe węglanowe bez magnezu — Odmiana 04","315","wapno węglanowe czy magnezowe","porównanie","20","","/wapno-nawozowe-rolnictwo/weglanowe-magnez-granulowane/","8","2"
"Wapno nawozowe węglanowe bez magnezu — Odmiana 04","315","wapno węglanowe czy granulowane","porównanie","<10","","","","0"
"Wapno nawozowe węglanowe bez magnezu — Odmiana 04","315","wapno odmiana 04 czy 05","porównanie","<10","","","","0"
