"produkt","wc_id","fraza","typ","wolumen","cpc_zl","nasz_url_gsc","pozycja_gsc","wyswietlenia_gsc"
"Agrobielik 70","310","agrobielik","nazwa / marka","10","","","",""
"Agrobielik 70","310","wapno agrobielik","nazwa / marka","10","","","",""
"Agrobielik 70","310","agrobielik 70","nazwa / marka","<10","","","",""
"Agrobielik 70","310","wapno agrobielik 70","nazwa / marka","<10","","","",""
"Agrobielik 70","310","agro bielik","nazwa / marka","<10","","","",""
"Agrobielik 70","310","wapno agro bielik","nazwa / marka","<10","","","",""
"Agrobielik 70","310","bielik wapno nawozowe","nazwa / marka","<10","","","",""
"Agrobielik 70","310","agrobielik 90","nazwa / marka","<10","","","",""
"Agrobielik 70","310","agrobielik 70 zastosowanie","nazwa + zastosowanie","<10","","","",""
"Agrobielik 70","310","agrobielik do stawu","nazwa + zastosowanie","<10","","","",""
"Agrobielik 70","310","agrobielik na łąki","nazwa + zastosowanie","<10","","","",""
"Agrobielik 70","310","agrobielik dawkowanie","nazwa + dawka","<10","","","",""
"Agrobielik 70","310","agrobielik 70 dawkowanie","nazwa + dawka","<10","","","",""
"Agrobielik 70","310","ile agrobielik na hektar","nazwa + dawka","<10","","","",""
"Agrobielik 70","310","agrobielik cena","nazwa + cena / forma","<10","","","",""
"Agrobielik 70","310","agrobielik 70 cena","nazwa + cena / forma","<10","","","",""
"Agrobielik 70","310","wapno agrobielik cena","nazwa + cena / forma","<10","","","",""
"Agrobielik 70","310","agrobielik big bag","nazwa + cena / forma","<10","","","",""
"Agrobielik 70","310","agrobielik 20 kg","nazwa + cena / forma","<10","","","",""
"Agrobielik 70","310","agrobielik 40 kg","nazwa + cena / forma","<10","","","",""
"Agrobielik 70","310","wapno trzuskawica","producent / zakład","30","1.18","","",""
"Agrobielik 70","310","wapno bielik trzuskawica","producent / zakład","10","","","",""
"Agrobielik 70","310","wapno nordkalk","producent / zakład","210","0.6","","",""
"Agrobielik 70","310","nordkalk wapno","producent / zakład","480","0.89","","",""
"Agrobielik 70","310","wapno tlenkowe","rodzaj ogólny","720","0.52","/wapnowanie-gleby/","2.5","58"
"Agrobielik 70","310","wapno nawozowe tlenkowe","rodzaj ogólny","50","0.94","/wapno-nawozowe-rolnictwo/oxyfertil-90/","10","157"
"Agrobielik 70","310","wapno tlenkowe sypkie","rodzaj ogólny","20","0.18","/wapnowanie-gleby/","2","15"
"Agrobielik 70","310","wapno tlenkowe 70","rodzaj ogólny","10","0.37","","",""
"Agrobielik 70","310","wapno tlenkowe big bag","rodzaj ogólny","50","0.55","/wapno-nawozowe-hurt/wapno-agrobielik-70-big-bag-1000kg/","11.9","45"
"Agrobielik 70","310","wapno tlenkowe luzem","rodzaj ogólny","10","1.05","","",""
"Agrobielik 70","310","wapno tlenkowe do stawu","rodzaj ogólny","90","0.49","/wapnowanie-gleby/","2","1"
"Agrobielik 70","310","wapno tlenkowe dawkowanie","rodzaj ogólny","40","2.18","/wapno-nawozowe-rolnictwo/oxyfertil-90/","1","87"
"Agrobielik 70","310","wapno tlenkowe ile na hektar","rodzaj ogólny","20","","/wapnowanie-gleby/","5.3","105"
"Agrobielik 70","310","ile wapna tlenkowego na hektar","rodzaj ogólny","20","4.03","/wapnowanie-gleby/","6.1","95"
"Agrobielik 70","310","wapno tlenkowe cena","rodzaj ogólny","50","0.17","/wapnowanie-gleby/","2","5"
"Agrobielik 70","310","wapno tlenkowe cena za tonę","rodzaj ogólny","30","0.83","/wapnowanie-gleby/","2","2"
"Agrobielik 70","310","wapno tlenkowe zastosowanie","rodzaj ogólny","10","","","",""
"Agrobielik 70","310","nordkalk wapno sitkówka","producent / zakład","30","1.6","","",""
"Agrobielik 70","310","wapno sitkówka","producent / zakład","<10","","","",""
"Agrobielik 70","310","nordkalk agrobielik","producent / zakład","<10","","","",""
"Agrobielik 70","310","wapno tlenkowe czy węglanowe","porównania","10","","","",""
"Agrobielik 70","310","wapno tlenkowe a węglanowe","porównania","10","16.99","","",""
"Agrobielik 70","310","wapno palone nawozowe","rodzaj ogólny","<10","","","",""
"Agrobielik 70","310","wapno nawozowe odmiana 02","rodzaj ogólny","<10","","","",""
"Agrobielik 70","310","agrobielik 70 czy 90","porównania","<10","","","",""
"Agrobielik 70","310","agrobielik czy oxyfertil","porównania","<10","","","",""
"Agrobielik 70","310","wapno tlenkowe a hydratyzowane","porównania","<10","","","",""
